,FEDFUNDS,TB3MS,T5YIE,UNRATE,CPIAUCSL_YOY,PCEPI_YOY,INDPRO_YOY,PAYEMS_YOY,NFCI,STLFSI4,SPREAD_2s10s,SPREAD_3m10y,SPREAD_5s30s,beta1,beta2,beta3,beta1_L1,beta1_L2,beta1_L3,beta2_L1,beta2_L2,beta2_L3,beta3_L1,beta3_L2,beta3_L3,beta1_t1,beta2_t1,beta3_t1
2006-12-31,5.24,4.85,2.26,4.4,2.492651488183384,2.260997940901799,2.160976799435854,1.535232992929103,-0.63625,-0.9648,0.1100000000000003,0.29,-0.1499999999999994,4.722640901074537,0.7531127841112253,-1.6754918994944685,4.722315251728121,4.89961563033418,4.906208756284941,0.8352615158004555,0.5076890638131144,0.43995540767651614,-1.55844309588621,-1.429906495901755,-1.4400943237427781,4.890473480109018,0.4781716167893947,-1.139546849277842
2007-01-31,5.25,4.98,2.42,4.6,2.054514742382274,2.110827557079453,1.6450611934452295,1.4994894328616226,-0.68307,-1.1285,0.1200000000000001,0.2200000000000006,-0.0999999999999996,4.890473480109018,0.4781716167893947,-1.139546849277842,4.722640901074537,4.722315251728121,4.89961563033418,0.7531127841112253,0.8352615158004555,0.5076890638131144,-1.6754918994944685,-1.55844309588621,-1.429906495901755,4.863702976108694,0.5294198982359163,-1.2573896273709613
2007-02-28,5.26,5.03,2.4,4.5,2.39143662483734,2.361118167961518,2.562320493432857,1.3370660497466602,-0.66482,-1.1327,0.1299999999999999,0.3100000000000005,-0.1100000000000003,4.863702976108694,0.5294198982359163,-1.2573896273709613,4.890473480109018,4.722640901074537,4.722315251728121,0.4781716167893947,0.7531127841112253,0.8352615158004555,-1.139546849277842,-1.6754918994944685,-1.55844309588621,4.770547965169367,1.010366337747241,-2.4200632807705142
2007-03-31,5.26,4.94,2.51,4.4,2.759763084754141,2.532556951890008,2.5129968859409324,1.2753169364614791,-0.60816,-0.9511,0.0100000000000006,0.3800000000000008,-0.2399999999999993,4.770547965169367,1.010366337747241,-2.4200632807705142,4.863702976108694,4.890473480109018,4.722640901074537,0.5294198982359163,0.4781716167893947,0.7531127841112253,-1.2573896273709613,-1.139546849277842,-1.6754918994944685,4.944515312143005,0.5372963863928225,-2.0315892655568066
2007-04-30,5.25,4.87,2.45,4.5,2.559878494901735,2.3040301118654405,2.886222107176728,1.1946736360890498,-0.58981,-1.0106,-0.0200000000000004,0.1799999999999997,-0.2800000000000002,4.944515312143005,0.5372963863928225,-2.0315892655568066,4.770547965169367,4.863702976108694,4.890473480109018,1.010366337747241,0.5294198982359163,0.4781716167893947,-2.4200632807705142,-1.2573896273709613,-1.139546849277842,4.983688080205617,0.18769595454908725,-1.3281083566947454
2007-05-31,5.25,4.73,2.33,4.4,2.6738184762487016,2.3257270916553274,2.9148345580469304,1.2718865166107207,-0.55439,-0.9715,0.0199999999999995,-0.0199999999999995,-0.2300000000000004,4.983688080205617,0.18769595454908725,-1.3281083566947454,4.944515312143005,4.770547965169367,4.863702976108694,0.5372963863928225,1.010366337747241,0.5294198982359163,-2.0315892655568066,-2.4200632807705142,-1.2573896273709613,5.261920670994685,-0.31768436008295536,-0.208594623295536
2007-06-30,5.25,4.61,2.33,4.6,2.657148166818324,2.2911848666168133,2.6059986545361014,1.2638467960011113,-0.52418,-0.5634,-0.1199999999999992,-0.4899999999999993,-0.1699999999999999,5.261920670994685,-0.31768436008295536,-0.208594623295536,4.983688080205617,4.944515312143005,4.770547965169367,0.18769595454908725,0.5372963863928225,1.010366337747241,-1.3281083566947454,-2.0315892655568066,-2.4200632807705142,5.159434005642815,0.2861332905915354,-1.5987124604012057
2007-07-31,5.26,4.82,2.17,4.7,2.291435522260432,2.1024684327948684,2.5144188643158927,1.1035428645790546,-0.29317,-0.1515,-0.1799999999999997,-0.1799999999999997,-0.2300000000000004,5.159434005642815,0.2861332905915354,-1.5987124604012057,5.261920670994685,4.983688080205617,4.944515312143005,-0.31768436008295536,0.18769595454908725,0.5372963863928225,-0.208594623295536,-1.3281083566947454,-2.0315892655568066,5.048882508697223,-0.1008151844248847,-2.352963166010294
2007-08-31,5.02,4.2,1.97,4.6,1.8796714465866948,1.8563773221659476,2.277185803926862,0.9610348222837573,0.20659,0.9957,-0.3600000000000003,-0.4699999999999997,-0.5,5.048882508697223,-0.1008151844248847,-2.352963166010294,5.159434005642815,5.261920670994685,4.983688080205617,0.2861332905915354,-0.31768436008295536,0.18769595454908725,-1.5987124604012057,-0.208594623295536,-1.3281083566947454,4.9295983135419,-0.276060838863924,-2.646816906614416
2007-09-30,4.94,3.89,2.11,4.7,2.794416378290165,2.5030965595735037,2.70259042533354,0.925333049244692,0.07594,0.6983,-0.5099999999999998,-0.6299999999999994,-0.5899999999999999,4.9295983135419,-0.276060838863924,-2.646816906614416,5.048882508697223,5.159434005642815,5.261920670994685,-0.1008151844248847,0.2861332905915354,-0.31768436008295536,-2.352963166010294,-1.5987124604012057,-0.208594623295536,4.901731958381514,-0.18268639520187294,-2.839630656281158
